title,poet,poem
জ্যোৎস্নায় ভাসছে ঢাকা,শামসুর রাহমান,"জ্যোৎস্নায় ভাসছে ঢাকা, অবসন্ন হাটুরের মতো বসে আছি
হাঁটু মুড়ে নগর ভেলায়।
এ এক প্রকৃত খেলা, এই ভেসে-যাওয়া তীরবর্তী শোভা দেখে,
জ্যোৎস্নার মাধ্যমে গড়ে তোলা মধুর সম্পর্ক কোনো
মহিলার সাথে।
বাতিল প্রেমিক যদি ফের খুঁজে পায় বেলাবেলি সম্প্রীতির ডেরা,
তাহ’লে সে নীলিমাকে জানিয়ে অভিবাদন, প্রায়
ফুরফুরে প্রজাপতি হয়ে উড়ে উড়ে অপরাহ্নে
ঘাসের অম্লান সবুজকে চুমু খেয়ে, হাত রেখে
খরগোশ অথবা কাঠবিড়ালীর পিঠে, হাত রেখে
খরগোশ অথবা কাঠবিড়ালীর পিঠে, দেয়ালের শ্যাওলায়
মগ্ন হবে গৃহপ্রবেশের সূরে এক লহমায়। কয়েক শতাব্দী তার
আঙুলে উঠবে নেচে, দেশলাই জ্বালালে আঁধারে
প্রাচীন দেয়ালচিত্র অকস্মাৎ হবে উন্মোচিত, বুঝিবা আহত হবে
কাতর হৃদয় তার অতীতের অসামাজিকতা হেতু আর
রাখবে সে চোখ টিকটিকি কিংবা বাতির ওপর।

জ্যোৎস্নায় ভাসছে ঢাকা, ঢাকাও মরাল হতে জানে
পূর্ণিমায়, দেখে নিই। যেন দরদালান সমেত যাচ্ছে উড়ে
দুলিয়ে বিপুল ডানা মগজের জ্যোৎস্নায় আমার।
ওলোট-পালোট কত স্মৃতি গোলাপের মতো ঝরে
এখন আমাকে ঘিরে, ঘ্রাণে নেশাতুর হয়ে পড়ি।
শৈশব কাঠের ঘোড়া চেপে আসে, যৌবনের খর দিনগুলি,
রাত্রিগুলি খুব মেশামেশি করে রক্ত কণিকায়,

চামর দোলায় কোন, অব্যক্ত তরুণী, তবু কিছু স্বেদচিহ্ন
থেকে যায় আমার এ শরীর-পেরুনো অন্য এক অবয়বে।
জ্যোৎস্নায় ভাসছে ঢাকা, আমিও ভাসছি ক্রমাগত।
জ্যোৎস্নায় ভাসছে, ঢাকা ওরা মৃত, ওরা পূর্বগামী পরিজন,
বুঝি ওরা বারংবার মরীচিকার চিৎকার শুনে
ছুটে গেছে, কোথায় যে মরুদ্যান প্রস্রবণ নিয়ে
আমন্ত্রণে উন্মুখর বেলা শেষে, করেনি খেয়াল। ওরা মৃত,
ভ্রান্তির গহ্বরে ওরা হারিয়ে ফেলেছে কণ্ঠস্বর।
দেখি প্লেগ-কবলিত শহরের মতো
ক্রুর অমাবস্যার এলাকা-
ছিন্নভিন্ন জামা, জীর্ণ জুতো পড়ে আছে ইতস্ততঃ
কাঁটাগুল্ম, পাথরের মধ্যে, ফুলের কেয়ারিগুলি ভরে ওঠে
পচা নাড়িভুড়ি আর হাড়গোড়ে। দেখি কতিপয়
ন্যাংটো লোক পথে
করছে বপন মৃত্যু,-আমি কি অসুস্থ হয়ে পড়ছি তাহ’লে?

আমার অসুখ বলে ঢাকা মন খারাপ করেছে।
ওর চোখে-মুখে বিষণ্নতা জেগে থাকে সারাক্ষণ,
যত বলি ফুল্ল স্বরে, ভেবোনা লক্ষ্মীটি, আমি খুব
তাড়াতাড়ি সুস্থ হয়ে উঠবো, দেখে নিও,
তত সে খারাপ করে মন, চোখে জমে অশ্রুকণা,
আমার শিয়রে বসে থাকে ঠিক নার্সের ধরনে।
জ্যোৎস্নায় ভাসছো তুমি ঢাকা বেসামাল পূর্ণিমায়।
যাবো না স্বাস্থ্যের লোভে কোনো শৈলাবাসে,
তুমি আছি থেকো তুমি আমার অসুখ সেরে যাবে।
জ্বরদগ্ধ চোখে দেখি জ্যোৎস্না-ধোয়া স্নেহজাত পথ্য
তার হাতে নাচ আর রোজ নিয়ে আসে কিছু ফুল
রোগীর টেবিলে সুখ ফোটানোর অমল উদ্দেশ্যে।
আমার অস্তিত্ব থেকে অসুখের ছায়া সরে যাচ্ছে, দেখে যাও।"
হৃদয় নিঃসঙ্গ চিল,শামসুর রাহমান,"হৃদয় নিঃসঙ্গ চিল হয়ে কেঁদেছে ক’দিন তার
খবর রাখেনি কেউ। শূন্যতায় বেড়িয়েছি ভেসে,
যেন আমি কাটা ঘুড়ি, অনেক কষ্টেও মৃদু হেসে
সহজে নিয়েছি মেনে সামাজিকতার অত্যাচার।
আমাকে নিষণ্ন পেয়ে গৌরী প্রশ্ন করে, ‘কবি তুমি
এমন নিষ্পৃহ কেন আজকাল, এমন শীতল
উচ্চারণে, আচরণে? আমি কি ঢেলেছি ঠাণ্ডা জল
তোমার উদ্দীপনায়? ভাবাচ্ছে সন্ত্রন্ত জন্মভূমি?

কী দেবো উত্তর আমি? নিজেই জানি না, শুধু জানি
অন্ধকার গোলকধাঁধায় ঘুরি দিনরাত কেঁপে
উঠি ঘন ঘন একা ঘরে, ছায়াচ্ছন্ন এক প্রাণী
শিঙ নাড়ে, কষ বেয়ে তার রক্ত ঝরে, আসে ব্যেপে
কুঞ্জটিকা হৃদয়ে আমার, তবু তোমাকেই খুঁজি
প্রতিক্ষণ, এদিকে ফুরায় দ্রুত পরমায়ু-পুঁজি।"
তোমার নালিশের পরে,শামসুর রাহমান,"আজকাল মাঝে মাঝে সকালে কি সাঁঝে আমাকে ঘিরে
বেহাগের করুণ সুরের মতো বাজে তোমার নালিশ। আমার
কথা না কি এখন আগেকার মতো তোমার হৃদয়ে সরোবর
তৈরি করতে পারে না, পারে না লাল নীল পদ্ম ফোটাতে
হাওয়ায় ঈষৎ দুলে-ওঠা মানস সরোবরে আমার কথার
মুখ এখন তোমাকে লতাগুল্ম, ফুল, ফলমূল, আর
রঙ বেরঙের পাখির গানে গুঞ্জরিত দ্বীপে পৌঁছে দিতে না
পারার ব্যর্থতার কালি মেখে নিশ্চুপ থাকে প্রায়শ,
এইটুকু তুমি স্পষ্টতই উচ্চারণ করেছ। কস্মিনকালেও বাকপটু
নই আমি, প্রতিদ্বন্দ্বী হতে পারিনি কোনও চারুবাকের।
এই দড় কথা গুছিয়ে বলার খেলায়। তুমি যথার্থই বলেছি আমি
লোকটা ঘোর স্বার্থপর। স্বীকার করি, অনেক কথাই সযত্নে
সঞ্চিত রাখি কবিতার জন্যে। কথোপকথনের মুহূর্তে কথা পাখির
কোন্‌ পালক কখন ছোঁব, বুঝতেই পারি না। পরিণামে কিছু
অনাবশ্যক, বেসুরো কথা অথবা দীর্ঘ নীরবতা।

থাক এসব বকুনি। এই যে আমি আমার ভালোবাসার
মঞ্জরী সাজিয়ে রাখি তোমাকে বুকে, তোমার কালো
চুলের ঢালে, তোমার আসা-যাওয়ার পথে, সেগুলো
তুমি কুড়িয়ে নাও না কেন?"
১৩৩৩,জীবনানন্দ দাশ,"তোমার শরীর —
তাই নিয়ে এসেছিলে একবার — তারপর — মানুষের ভিড়
রাত্রি আর দিন
তোমারে নিয়েছে ডেকে কোন্‌ দিকে জানি নি তা — মানুষের ভিড়
রাত্রি আর দিন
তোমারে নিয়েছে ডেকে কোনদিকে জানি নি তা — হয়েছে মলিন
চক্ষু এই — ছিঁড়ে গেছি — ফেঁড়ে গেছি — পৃথিবীর পথে হেঁটে হেঁটে
কত দিন — রাত্রি গেছে কেটে!
কত দেহ এল, গেল, হাত ছুঁয়ে ছুঁয়ে
দিয়েছি ফিরায়ে সব — সমুদ্রের জলে দেহ ধুয়ে
নক্ষত্রের তলে
বসে আছি — সমুদ্রের জলে
দেহ ধুয়ে নিয়া
তুমি কি আসিবে কাছে প্রিয়া!
তোমার শরীর —
তাই নিয়ে এসেছিলে একবার — তারপর — মানুষের ভিড়
রাত্রি আর দিন
তোমারে নিয়েছে ডেকে কোন্‌দিকে — ফলে গেছে কতবার,
ঝরে গেছে তৃণ!

*
আমারে চাও না তুমি আজ আর, জানি;
তোমার শরীর ছানি
মিটায় পিপাসা
কে সে আজ! — তোমার রক্তের ভালোবাসা
দিয়েছ কাহারে!
কে বা সেই! — আমি এই সমুদ্রের পারে
বসে আছি একা আজ — ঐ দূর নক্ষত্রের কাছে
আজ আর প্রশ্ন নাই — মাঝরাতে ঘুম লেগে আছে
চক্ষে তার — এলোমেলো রয়েছে আকাশ!
উচ্ছৃঙ্খল বিশৃঙ্খলা! — তারই তলে পৃথিবীর ঘাস
ফলে ওঠে — পৃথিবীর তৃণ
ঝড়ে পড়ে — পৃথিবীর রাত্রি আর দিন
কেটে যায়!
উচ্ছৃঙ্খল বিশৃঙ্খলা — তারই তলে হায়!

*
জানি আমি — আমি যাব চলে
তোমার অনেক আগে;
তারপর, সমুদ্র গাহিবে গান বহুদিন —
আকাশে আকাশে যাবে জ্বলে
নক্ষত্র অনেক রাত আরো,
নক্ষত্র অনেক রাত আরো,
(যদিও তোমারও
রাত্রি আর দিন শেষ হবে
একদিন কবে!)
আমি চলে যাব, তবু, সমুদ্রের ভাষা
রয়ে যাবে — তোমার পিপাসা
ফুরাবে না পৃথিবীর ধুলো মাটি তৃণ
রহিবে তোমার তরে — রাত্রি আর দিন
রয়ে যাবে রয়ে যাবে তোমার শরীর,
আর এই পৃথিবীর মানুষের ভিড়।

*
আমারে খুজিয়াছিলে তুমি একদিন —
কখন হারায়ে যাই — এই ভয়ে নয়ন মলিন
করেছিলে তুমি! —
জানি আমি; তবু, এই পৃথিবীর ফসলের ভূমি
আকাশের তারার মতন
ফলিয়া ওঠে না রোজ — দেহ ঝরে — ঝরে যায় মন
তার আগে!
এই বর্তমান — তার দু — পায়ের দাগে
মুছে যায় পৃথিবীর পর,
একদিন হয়েছে যা তার রেখা, ধূলার অক্ষর!
আমারে হারায়ে আজ চোখ ম্লান করিবে না তুমি —
জানি আমি; পৃথিবীর ফসলের ভূমি
আকাশের তারার মতন
ফলিয়া ওঠে না রোজ —
দেহ ঝরে, তার আগে আমাদের ঝরে যায় মন!

*
আমার পায়ের তলে ঝরে যায় তৃণ —
তার আগে এই রাত্রি — দিন
পড়িতেছে ঝরে!
এই রাত্রি, এই দিন রেখেছিলে ভরে
তোমার পায়ের শব্দে, শুনেছি তা আমি!
কখন গিয়েছে তবু থামি
সেই শব্দে! — গেছ তুমি চলে
সেই দিন সেই রাত্রি ফুরায়েছে বলে!
আমার পায়ের তলে ঝরে নাই তৃণ —
তবু সেই রাত্রি আর দিন
পড়ে গেল ঝ’রে।
সেই রাত্রি — সেই দিন — তোমার পায়ের শব্দে রেখেছিলে ভরে!

*
জানি আমি, খুঁজিবে না আজিকে আমারে
তুমি আর; নক্ষত্রের পারে
যদি আমি চলে যাই,
পৃথিবীর ধুলো মাটি কাঁকরে হারাই
যদি আমি —
আমারে খুঁজিতে তবু আসিবে না আজ;
তোমার পায়ের শব্দ গেল কবে থামি
আমার এ নক্ষত্রের তলে! —
জানি তবু, নদীর জলের মতো পা তোমার চলে —
তোমার শরীর আজ ঝরে
রাত্রির ঢেউয়ের মতো কোনো এক ঢেউয়ের উপরে!
যদি আজ পৃথিবীর ধুলো মাটি কাঁকরে হারাই
যদি আমি চলে যাই
নক্ষত্রের পারে —
জানি আমি, তুমি আর আসিবে না খুঁজিতে আমারে!

*
তুমি যদি রহিতে দাঁড়ায়ে!
নক্ষত্র সরিয়া যায়, তবু যদি তোমার দু — পায়ে
হারায়ে ফেলিতে পথ — চলার পিপাসা! —
একবারে ভালোবেসে — যদি ভালোবাসিতে চাহিতে তুমি সেই ভালোবাসা।
আমার এখানে এসে যেতে যদি থামি! —
কিন্তু তুমি চলে গেছ, তবু কেন আমি
রয়েছি দাঁড়ায়ে!
নক্ষত্র সরিয়া যায় — তবু কেন আমার এ পায়ে
হারায়ে ফেলেছি পথ চলার পিপাসা!
একবার ভালোবেসে কেন আমি ভালোবাসি সেই ভালোবাসা!

*
চলিতে চাহিয়াছিলে তুমি একদিন
আমার এ পথে — কারণ, তখন তুমি ছিলে বন্ধুহীন।
জানি আমি, আমার নিকটে তুমি এসেছিলে তাই।
তারপর, কখন খুঁজিয়া পেলে কারে তুমি! — তাই আস নাই
আমার এখানে তুমি আর!
একদিন কত কথা বলেছিলে, তবু বলিবার
সেইদিনও ছিল না তো কিছু — তবু বলিবার
আমার এ পথে তুমি এসেছিলে — বলেছিলে কত কথা —
কারণ, তখন তুমি ছিলে বন্ধুহীন;
আমার নিকটে তুমি এসেছিলে তাই;
তারপর, কখন খুঁজিয়া পেলে কারে তুমি — তাই আস নাই!

*
তোমার দু চোখ দিয়ে একদিন কতবার চেয়েছ আমারে।
আলো অন্ধকারে
তোমার পায়ের শব্দ কতবার শুনিয়াছি আমি!
নিকটে নিকটে আমি ছিলাম তোমার তবু সেইদিন —
আজ রাত্রে আসিয়াছি নামি
এই দূর সমুদ্রের জলে!
যে নক্ষত্র দেখ নাই কোনোদিন, দাঁড়ায়েছি আজ তার তলে!
সারাদিন হাঁটিয়াছি আমি পায়ে পায়ে
বালকের মতো এক — তারপর, গিয়েছি হারায়ে
সমুদ্রের জলে,
নক্ষত্রের তলে!
রাত্রে, অন্ধকারে!
তোমার পায়ের শব্দ শুনিব না তবু আজ — জানি আমি,
আজ তবু আসিবে না খুঁজিতে আমারে!"
অকরুণ পিয়া,কাজী নজরুল ইসলাম,"আমার   পিয়াল বনের শ্যামল পিয়ার ওই বাজে গো বিদায়বাঁশি, 
       পথ-ঘুরানো সুর হেনে সে আবার হাসে নিদয় হাসি।
              পথিক বলে পথের গেহ
              বিলিয়েছিল একটু স্নেহ,
       তাই দেখে তার ঈর্ষাভরা কান্নাতে চোখ গেল ভাসি।
  
       তখন মোদের কিশোর বয়স যেদিন হঠাৎ টুটল বাঁধন,
       সেই হতে কার বিদায়-বেণুর জগৎ জুড়ে শুনছি কাঁদন।  
             সেই কিশোরীর হারা মায়া  
             ভুবন ভরে নিল কায়া,  
       দুলে আজও তারই ছায়া আমার সকল পথে আসি।"
অগ্ন্যুৎসব,হেলাল হাফিজ,"ছিল তা এক অগ্ন্যুৎসব, সেদিন আমি
সবটুকু বুক রেখেছিলাম স্বয়ংক্রিয় আগ্নেয়াস্ত্রে
জীবন বাজি ধরেছিলাম প্রেমের নামে
রক্ত ঋণে স্বদেশ হলো,
তোমার দিকে চোখ ছিলো না
জন্মভূমি সেদিন তোমার সতীন ছিলো ।

আজকে আবার জীবন আমার ভিন্ন স্বপ্নে অংকুরিত অগ্ন্যুৎসবে
তোমাকে চায় শুধুই তোমায় ।

রঙিন শাড়ির হলুদ পাড়ে ঋতুর প্লাবন নষ্ট করে
ভর দুপুরে শুধুই কেন হাত বেঁধেছো বুক ঢেকেছো
যুঁই চামেলী বেলীর মালায়,
আমার বুকে সেদিন যেমন আগুন ছিলো
ভিন্নভাবে জ্বলছে আজও,
তবু সবই ব্যর্থ হবে
তুমি কেবল যুঁই চামেলী বেলী ফুলেই মগ্ন হলে ।"
অঘ্রাণ প্রান্তরে,জীবনানন্দ দাশ,
অঙ্গুরি এসেছ তুমি,শামসুর রাহমান,"অঙ্গুরি এসেছ তুমি ফিরে অজ্ঞাতবাসের পর
আমার এ ঘরে আজ। বহুদিন ছিলে অন্ধকারে
বস্তুত গা ঢাকা দিয়ে; তোমাকে ভেবেছি বারে বারে,
দেখেছি তোমার স্বপ্ন কত, ইতিমধ্যে বহু ঝড়
ঝাপ্টা গ্যাছে, বিস্মৃতির এক্কা দোক্কা তোমার খবর
সহজে ফেলেছে মুছে কখনো সখনো। কোন্‌ তারে
কখন লেগেছে সুর পুনরায় কোমল গান্ধারে,
আমিতো পাইনি টের; ছিল খুব হৃদয়ের জ্বর!

হে অঙ্গুরি, তোমার শরীরে লতাগুল্ম, বুনো ঘাস,
গৃহত্যাগী যুবকের স্বেদ, ধুলো ইত্যাদির ঘ্রাণ
লেগে আছে, সবচেয়ে বেশি আছে ভালোবাসবার
সাধ ও ক্ষমতা যা সহজে মুমূর্ষুকে পারে প্রাণ-
শক্তি ধার দিতে আর লহমায় দূরের আকাশ
বুকে এনে স্বপ্ন দেখাতেও পারে ঘর বাঁধবার।"
"অচির বসন্ত হায় এল, গেল চলে",রবীন্দ্রনাথ ঠাকুর,"অচির বসন্ত হায় এল, গেল চলে–
এবার কিছু কি, কবি করেছ সঞ্চয়।
ভরেছ কি কল্পনার কনক-অঞ্চলে
চঞ্চলপবনক্লিষ্ট শ্যাম কিশলয়,
ক্লান্ত করবীর গুচ্ছ। তপ্ত রৌদ্র হতে
নিয়েছ কি গলাইয়া যৌবনের সুরা–
ঢেলেছ কি উচ্ছলিত তব ছন্দঃস্রোতে,
রেখেছ কি করি তারে অনন্তমধুরা।
এ বসন্তে প্রিয়া তব পূর্ণিমানিশীথে
নবমল্লিকার মালা জড়াইয়া কেশে
তোমার আকাঙক্ষাদীপ্ত অতৃপ্ত আঁখিতে
যে দৃষ্টি হানিয়াছিল একটি নিমেষে
সে কি রাখ নাই গেঁথে অক্ষয় সংগীতে।
সে কি গেছে পুষ্পচ্যুত সৌরভের দেশে।"
অত চুপি চুপি কেন কথা কও,রবীন্দ্রনাথ ঠাকুর,"অত চুপি চুপি কেন কথা কও
ওগো মরণ, হে মোর মরণ।
অতি ধীরে এসে কেন চেয়ে রও,
ওগো একি প্রণয়েরি ধরন।
যবে সন্ধ্যাবেলায় ফুলদল
পড়ে ক্লান্ত বৃন্তে নমিয়া,
যবে ফিরে আসে গোঠে গাভীদল
সারা দিনমান মাঠে ভ্রমিয়া,
তুমি পাশে আসি বস অচপল
ওগো অতি মৃদুগতি-চরণ।
আমি বুঝি না যে কী যে কথা কও
ওগো মরণ, হে মোর মরণ।

হায় এমনি করে কি, ওগো চোর,
ওগো মরণ, হে মোর মরণ,
চোখে বিছাইয়া দিবে ঘুমঘোর
করি হৃদিতলে অবতরণ।
তুমি এমনি কি ধীরে দিবে দোল
মোর অবশ বক্ষশোণিতে।
কানে বাজাবে ঘুমের কলরোল
তব কিঙ্কিণি-রণরণিতে?
শেষে পসারিয়া তব হিম-কোল
মোরে স্বপনে করিবে হরণ?
আমি বুঝি না যে কেন আস-যাও
ওগো মরণ, হে মোর মরণ।

কহ মিলনের এ কি রীতি এই
ওগো মরণ, হে মোর মরণ।
তার সমারোহভার কিছু নেই–
নেই কোনো মঙ্গলাচরণ?
তব পিঙ্গলছবি মহাজট
সে কি চূড়া করি বাঁধা হবে না।
তব বিজয়োদ্ধত ধ্বজপট
সে কি আগে-পিছে কেহ ববে না।
তব মশাল-আলোকে নদীতট
আঁখি মেলিবে না রাঙাবরন?
ত্রাসে কেঁপে উঠিবে না ধরাতল
ওগো মরণ,হে মোর মরণ?

যবে বিবাহে চলিলা বিলোচন
ওগো মরণ, হে মোর মরণ,
তাঁর কতমতো ছিল আয়োজন,
ছিল কতশত উপকরণ।
তাঁর লটপট করে বাঘছাল
তাঁর বৃষ রহি রহি গরজে,
তাঁর বেষ্টন করি জটাজাল
যত ভুজঙ্গদল তরজে।
তাঁর ববম্‌ববম্‌ বাজে গাল,
দোলে গলায় কপালাভরণ,
তাঁর বিষাণে ফুকারি উঠে তান
ওগো মরণ, হে মোর মরণ।

শুনি শ্মশানবাসীর কলকল
ওগো মরণ, হে মোর মরণ,
সুখে গৌরীর আঁখি ছলছল,
তাঁর কাঁপিছে নিচোলাবরণ।
তাঁর বাম আঁখি ফুরে থরথর,
তাঁর হিয়া দুরুদুরু দুলিছে,
তাঁর পুলকিত তনু জরজর,
তাঁর মন আপনারে ভুলিছে।
তাঁর মাতা কাঁদে শিরে হানি কর
খেপা বরেরে করিতে বরণ,
তাঁর পিতা মনে মানে পরমাদ
ওগো মরণ, হে মোর মরণ।

তুমি চুরি করি কেন এস চোর
ওগো মরণ, হে মোর মরণ।
শুধু নীরবে কখন নিশি-ভোর,
শুধু অশ্রু-নিঝর-ঝরন।
তুমি উৎসব করো সারারাত
তব বিজয়শঙ্খ বাজায়ে।
মোরে কেড়ে লও তুমি ধরি হাত
নব রক্তবসনে সাজায়ে।
তুমি কারে করিয়ো না দৃক্‌পাত,
আমি নিজে লব তব শরণ
যদি গৌরবে মোরে লয়ে যাও
ওগো মরণ, হে মোর মরণ।

যদি কাজে থাকি আমি গৃহমাঝ
ওগো মরণ, হে মোর মরণ,
তুমি ভেঙে দিয়ো মোর সব কাজ,
কোরো সব লাজ অপহরণ।
যদি স্বপনে মিটায়ে সব সাধ
আমি শুয়ে থাকি সুখশয়নে,
যদি হৃদয়ে জড়ায়ে অবসাদ
থাকি আধজাগরূক নয়নে,
তবে শঙ্খে তোমার তুলো নাদ
করি প্রলয়শ্বাস ভরণ–
আমি ছুটিয়া আসিব ওগো নাথ,
ওগো মরণ, হে মোর মরণ।

আমি যাব যেথা তব তরী রয়
ওগো মরণ, হে মোর মরণ,
যেথা অকূল হইতে বায়ু বয়
করি আঁধারের অনুসরণ।
যদি দেখি ঘনঘোর মেঘোদয়
দূর ঈশানের কোণে আকাশে,
যদি বিদ্যুৎফণী জ্বালাময়
তার উদ্যত ফণা বিকাশে,
আমি ফিরিব না করি মিছা ভয়–
আমি করিব নীরবে তরণ
সেই মহাবরষার রাঙা জল
ওগো মরণ, হে মোর মরণ।"
